CRITERIA FOR SEARCH RESULTS:,,,,,,,,,,,,,,,,,,,,,,,,,,
Region: AUSTRALASIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Country: Australia,,,,,,,,,,,,,,,,,,,,,,,,,,
Commodity: Gold,,,,,,,,,,,,,,,,,,,,,,,,,,
Resource Date: Greater Than 01/Nov/2013,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Parent Number ID,Name,Propno,Latitude,,Longitude,,Status,Operator/Significant Owner,Reserve Date(Gold),Reserves - Tonnage(Gold),,Reserves - Grade(Gold),,Reserves - Contained Material(Gold),,Reserves - Category(Gold),Resource Date(Gold),Resources - Tonnage(Gold),,Resources - Grade(Gold),,Resources - Contained Material(Gold),,Resources - Category(Gold),Commodities
42307,,Nullagine Gold Operation,Gold,Probable,76,",000t",3.9,g/t,9529,oz    ,0,31-Dec-12,3-Apr-13,Copied from Golden Gate Satellites Gold Deposit - Falcon deposit.,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Measured Indicated,17640,",000t",1.169,g/t,662986,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from Golden Eagle Gold Mine -,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Measured Indicated,720,",000t",1.375,g/t,31829,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from Little Wonder Gold Deposit -,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Measured Indicated,1810,",000t",1.27,g/t,73905,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from All Nations Gold Deposit -,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Measured Indicated,3160,",000t",1.19,g/t,120900,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from Barton Gold Deposit -,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Measured Indicated,2070,",000t",1.084,g/t,72142,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from Shearers Gold Deposit -,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Measured Indicated,2050,",000t",0.836,g/t,55100,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from Otways Gold Deposit -,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Measured Indicated,200,",000t",2.665,g/t,17136,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from Golden Gate Satellites Gold Deposit - Condor deposit.,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Measured Indicated,820,",000t",3.231,g/t,85181,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from Golden Gate Gold Deposit - Grade adjusted to reflect contained ounces.,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Measured Indicated,75,",000t",2.885,g/t,6957,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from Golden Gate Satellites Gold Deposit - Crow deposit.,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Inferred,50,",000t",2.335,g/t,3754,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from Golden Gate Satellites Gold Deposit - Crow deposit.,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Inferred,25,",000t",3.685,g/t,2962,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from Golden Gate Satellites Gold Deposit - G_Reef deposit.,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Inferred,1500,",000t",0.995,g/t,47985,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from Golden Gate Satellites Gold Deposit - Au81 deposit.,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Inferred,8900,",000t",1.47,g/t,420628,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from Beatons Creek Gold Deposit -,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Inferred,140,",000t",2.29,g/t,10308,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from Golden Gate Gold Deposit -,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Inferred,45,",000t",4.35,g/t,6294,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from Golden Gate Satellites Gold Deposit - Falcon deposit.,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Inferred,25,",000t",3.705,g/t,2978,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from Golden Gate Satellites Gold Deposit - Condor deposit.,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Inferred,40,",000t",1.8,g/t,2315,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from Golden Gate Satellites Gold Deposit - Harrier deposit.,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Inferred,692,",000t",0.916,g/t,20379,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from Otways Gold Deposit -,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Inferred,260,",000t",1,g/t,8359,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from Shearers Gold Deposit -,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Inferred,550,",000t",1.12,g/t,19805,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from Barton Gold Deposit -,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Inferred,4170,",000t",1.06,g/t,142113,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from Golden Eagle Gold Mine -,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Inferred,420,",000t",1.04,g/t,14043,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from All Nations Gold Deposit -,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Inferred,220,",000t",1.68,g/t,11883,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from Little Wonder Gold Deposit -,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Inferred,200,",000t",1.5,g/t,9645,oz    ,0,31-Dec-08,30-Apr-09,Copied from Gambols Gold Deposit -,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Indicated,25,",000t",3.715,g/t,2986,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from Golden Gate Satellites Gold Deposit - G_Reef deposit.,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Indicated,100,",000t",1.76,g/t,5659,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from Golden Gate Satellites Gold Deposit - Harrier deposit.,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Indicated,95,",000t",3.85,g/t,11759,oz    ,0.5,13-Nov-13,13-Nov-13,Copied from Golden Gate Satellites Gold Deposit - Falcon deposit.,Yes,,,,,,,,,,,
40957,,Otways Gold Deposit,Gold,Proven Probable,414,",000t",1,g/t,13310,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
40957,,Otways Gold Deposit,Gold,Measured Indicated,2050,",000t",0.836,g/t,55100,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
40957,,Otways Gold Deposit,Gold,Inferred,692,",000t",0.916,g/t,20379,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
11779,,Shearers Gold Deposit,Gold,Proven Probable,920,",000t",1.24,g/t,36678,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
11779,,Shearers Gold Deposit,Gold,Measured Indicated,2070,",000t",1.084,g/t,72142,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
11779,,Shearers Gold Deposit,Gold,Inferred,260,",000t",1,g/t,8359,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
33481,,Tennant Creek South Gold Project,Copper,N/A,,",000t",,%,0,t     ,0,,7-Nov-07,,No,,,,,,,,,,,
33481,,Tennant Creek South Gold Project,Gold,Inferred,60,",000t",19.2,g/t,37038,oz    ,1,28-Nov-13,28-Nov-13,Copied from Chariot Gold Mine - Open Pit potential,Yes,,,,,,,,,,,
33481,,Tennant Creek South Gold Project,Gold,Inferred,50,",000t",18.4,g/t,29579,oz    ,6,28-Nov-13,28-Nov-13,Copied from Chariot Gold Mine - Underground potential,Yes,,,,,,,,,,,
33481,,Tennant Creek South Gold Project,Gold,Indicated,10,",000t",11.1,g/t,3569,oz    ,1,28-Nov-13,28-Nov-13,Copied from Chariot Gold Mine - Open Pit potential,Yes,,,,,,,,,,,
33481,,Tennant Creek South Gold Project,Gold,Indicated,50,",000t",16.5,g/t,26524,oz    ,6,28-Nov-13,28-Nov-13,Copied from Chariot Gold Mine - Undeground potential,Yes,,,,,,,,,,,
33481,,Tennant Creek South Gold Project,Lead,N/A,,",000t",,%,0,t     ,0,,15-Oct-09,,No,,,,,,,,,,,
33481,,Tennant Creek South Gold Project,Molybdenum,N/A,,",000t",,% Mo,0,t     ,0,,15-Oct-09,,No,,,,,,,,,,,
33481,,Tennant Creek South Gold Project,Silver,N/A,,",000t",,g/t,0,oz    ,0,,15-Oct-09,,No,,,,,,,,,,,
33481,,Tennant Creek South Gold Project,Silver,N/A,,",000t",,g/t,0,oz    ,0,,28-Nov-13,Copied from Chariot Gold Mine -,No,,,,,,,,,,,
33481,,Tennant Creek South Gold Project,Zinc,N/A,,",000t",,%,0,t     ,0,,15-Oct-09,,No,,,,,,,,,,,
7254,,Tomingley Gold Project,Gold,Proven Probable,1900,",000t",1.547,g/t,94501,oz    ,0,31-Dec-12,12-Apr-13,Copied from Wyoming 1-3 Gold Deposit - Wyoming One.,Yes,,,,,,,,,,,
7254,,Tomingley Gold Project,Gold,Proven,500,",000t",1.75,g/t,28132,oz    ,0,31-Dec-12,12-Apr-13,Copied from Wyoming 1-3 Gold Deposit - Wyoming Three. Grade adjusted to reflect contained ounces.,Yes,,,,,,,,,,,
7254,,Tomingley Gold Project,Gold,Proven Probable,1200,",000t",2.242,g/t,86498,oz    ,0,31-Dec-12,12-Apr-13,Copied from Caloma Gold Deposit -,Yes,,,,,,,,,,,
7254,,Tomingley Gold Project,Gold,Measured Indicated,706,",000t",2,g/t,45397,oz    ,0,31-Dec-12,12-Apr-13,Copied from Wyoming 1-3 Gold Deposit - Wyoming Three.,Yes,,,,,,,,,,,
7254,,Tomingley Gold Project,Gold,Measured Indicated,3258,",000t",2.28,g/t,238823,oz    ,0,31-Dec-12,12-Apr-13,Copied from Caloma Gold Deposit -,Yes,,,,,,,,,,,
7254,,Tomingley Gold Project,Gold,Measured Indicated,3207,",000t",2.154,g/t,222093,oz    ,0,31-Dec-12,12-Apr-13,Copied from Wyoming 1-3 Gold Deposit - Wyoming One.,Yes,,,,,,,,,,,
7254,,Tomingley Gold Project,Gold,Inferred,700,",000t",1.4,g/t,31508,oz    ,0.75,12-Nov-13,12-Nov-13,Copied from Caloma Two Gold Deposit -,Yes,,,,,,,,,,,
7254,,Tomingley Gold Project,Gold,Inferred,2194,",000t",1.851,g/t,130567,oz    ,0,31-Dec-12,12-Apr-13,Copied from Caloma Gold Deposit -,Yes,,,,,,,,,,,
7254,,Tomingley Gold Project,Gold,Inferred,103,",000t",1.35,g/t,4471,oz    ,0,31-Dec-12,12-Apr-13,Copied from Wyoming 1-3 Gold Deposit - Wyoming Three.,Yes,,,,,,,,,,,
7254,,Tomingley Gold Project,Gold,Inferred,3117,",000t",1.7,g/t,170364,oz    ,0,31-Dec-12,12-Apr-13,Copied from Wyoming 1-3 Gold Deposit - Wyoming One.,Yes,,,,,,,,,,,
7254,,Tomingley Gold Project,Gold,Indicated,1000,",000t",2.42,g/t,77805,oz    ,0.75,12-Nov-13,12-Nov-13,Copied from Caloma Two Gold Deposit -,Yes,,,,,,,,,,,
34115,,Wonder Gold Deposit,Gold,Proven Probable,1153,",000t",2.223,g/t,82406,oz    ,0.78,21-Nov-13,29-Nov-13,,Yes,,,,,,,,,,,
34115,,Wonder Gold Deposit,Gold,Measured Indicated,2607,",000t",2.09,g/t,175178,oz    ,0.5,27-Aug-13,5-Sep-13,Wonder North.,Yes,,,,,,,,,,,
34115,,Wonder Gold Deposit,Gold,Measured Indicated,534,",000t",2.13,g/t,36569,oz    ,0.5,27-Aug-13,5-Sep-13,Wonder West.,Yes,,,,,,,,,,,
34115,,Wonder Gold Deposit,Gold,Inferred,1284,",000t",1.63,g/t,67289,oz    ,0.5,27-Aug-13,5-Sep-13,Wonder North.,Yes,,,,,,,,,,,
34115,,Wonder Gold Deposit,Gold,Inferred,291,",000t",1.75,g/t,16373,oz    ,0.5,27-Aug-13,5-Sep-13,Wonder West.,Yes,,,,,,,,,,,
51606,,Zoroastrian Gold Deposit,Gold,Inferred,506,",000t",5.8,g/t,94356,oz    ,3,11-Nov-13,11-Nov-13,Underground,Yes,,,,,,,,,,,
51606,,Zoroastrian Gold Deposit,Gold,Inferred,1344,",000t",1.91,g/t,82532,oz    ,0.6,11-Nov-13,11-Nov-13,Open pit,Yes,,,,,,,,,,,
51606,,Zoroastrian Gold Deposit,Gold,Indicated,502,",000t",4.51,g/t,72790,oz    ,3,11-Nov-13,11-Nov-13,Underground,Yes,,,,,,,,,,,
51606,,Zoroastrian Gold Deposit,Gold,Indicated,4338,",000t",2.378,g/t,331659,oz    ,0.6,11-Nov-13,11-Nov-13,Open pit,Yes,,,,,,,,,,,
