CRITERIA FOR SEARCH RESULTS:,,,,,,,,,,,,,,,,,,,,,,,,,,
Region: AUSTRALASIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Country: Australia,,,,,,,,,,,,,,,,,,,,,,,,,,
Commodity: Gold,,,,,,,,,,,,,,,,,,,,,,,,,,
Resource Date: Greater Than 01/Nov/2013,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Parent Number ID,Name,Propno,Latitude,,Longitude,,Status,Operator/Significant Owner,Reserve Date(Gold),Reserves - Tonnage(Gold),,Reserves - Grade(Gold),,Reserves - Contained Material(Gold),,Reserves - Category(Gold),Resource Date(Gold),Resources - Tonnage(Gold),,Resources - Grade(Gold),,Resources - Contained Material(Gold),,Resources - Category(Gold),Commodities
,,Totals for all primary projects:,,,,,,,"21,210,000",t ,,"1,041,652",oz     ,,,"892,070,000",t ,,"13,410,962",oz     ,,,,,,
Note: subprojects designated with '*' have been excluded from total calculations.,,,,,,,,,,,,,,,,,,,,,,,,,,
(nc): Resource figures are derived using reported resources not compliant to industry standards.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Reserves/Resource,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Resources are inclusive of reserves.,,,,,,,,,,,,,,,,,,,,,,,,,,
Property No,,Property Name,Mineral/Metal,Category,Tonnage,Tonnage Units,Grade,Grade Units,Contained Material,Contained Material Units,Cut Off Grade,Resource Date,Date Updated,Notes,,,,,,,,,,,,
22764,,Adelaide Hills Gold Project,Copper,N/A,N/A,",000t",N/A,%,0,t     ,0,,31-Oct-06,,No,,,,,,,,,,,
22764,,Adelaide Hills Gold Project,Lead,N/A,N/A,",000t",N/A,%,0,t     ,0,,31-Oct-06,,No,,,,,,,,,,,
22764,,Adelaide Hills Gold Project,Zinc,N/A,N/A,",000t",N/A,%,0,t     ,0,,31-Oct-06,,No,,,,,,,,,,,
22764,,Adelaide Hills Gold Project,Gold,Inferred,557,",000t",13.003,g/t,232853,oz    ,1,30-Nov-13,2-Dec-13,,Yes,,,,,,,,,,,
33071,,All Nations Gold Deposit,Gold,Measured Indicated Inferred,"2,230",",000t",1.227,g/t,87948,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
33071,,All Nations Gold Deposit,Gold,Proven Probable,574,",000t",1.4,g/t,25836,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
33062,,Barton Gold Deposit,Gold,Proven Probable,"1,642",",000t",1.38,g/t,72852,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
33062,,Barton Gold Deposit,Gold,Measured Indicated Inferred,"3,710",",000t",1.18,g/t,140705,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
1908,,Beatons Creek Gold Deposit,Gold,Inferred,"8,900",",000t",1.47,g/t,420628,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
58670,,Big Blow North Gold Deposit,Gold,Inferred,120,",000t",1.46,g/t,5633,oz    ,0.6,15-Nov-13,14-Nov-13,,Yes,,,,,,,,,,,
24518,,Bird-in-Hand Gold Deposit,Gold,Inferred,557,",000t",13.003,g/t,232853,oz    ,1,30-Nov-13,2-Dec-13,,Yes,,,,,,,,,,,
37395,,Bluebush Gold Deposit,Gold,Probable,110,",000t",1.763,g/t,6235,oz    ,0.82,21-Nov-13,29-Nov-13,,Yes,,,,,,,,,,,
37395,,Bluebush Gold Deposit,Gold,Indicated Inferred,640,",000t",1.838,g/t,37822,oz    ,0.5,27-Aug-13,5-Sep-13,,Yes,,,,,,,,,,,
5350,,Bundarra Gold Project,Gold,Measured Indicated Inferred,"7,482",",000t",2.035,g/t,489518,oz    ,0.5,27-Aug-13,5-Sep-13,,Yes,,,,,,,,,,,
5350,,Bundarra Gold Project,Gold,Proven Probable,"1,631",",000t",2.289,g/t,120025,oz    ,0.78,21-Nov-13,29-Nov-13,,Yes,,,,,,,,,,,
58592,,Caloma Two Gold Deposit,Gold,Indicated Inferred,"1,700",",000t",2,g/t,109313,oz    ,0.75,12-Nov-13,12-Nov-13,,Yes,,,,,,,,,,,
39561,,Carrapateena Copper/Gold Project,Rare earth,N/A,N/A,",000t",N/A,%,0,t     ,0,,9-Mar-11,,No,,,,,,,,,,,
39561,,Carrapateena Copper/Gold Project,Copper,Indicated Inferred,"800,000",",000t",0.796,%,6366400,t     ,0.3,28-Nov-13,28-Nov-13,,Yes,,,,,,,,,,,
39561,,Carrapateena Copper/Gold Project,Gold,Indicated Inferred,"800,000",",000t",0.33,g/t,8490369,oz    ,0,28-Nov-13,28-Nov-13,,Yes,,,,,,,,,,,
39561,,Carrapateena Copper/Gold Project,Uranium,Indicated Inferred,"800,000",",000t",0.155,kg/t U3O8,123940,t     ,0,28-Nov-13,28-Nov-13,,Yes,,,,,,,,,,,
39561,,Carrapateena Copper/Gold Project,Silver,Indicated Inferred,"800,000",",000t",3.257,g/t,83761690,oz    ,0,28-Nov-13,28-Nov-13,,Yes,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Uranium,Indicated Inferred,"800,000",",000t",0.155,kg/t U3O8,123940,t     ,0,28-Nov-13,28-Nov-13,,Yes,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Silver,Indicated Inferred,"800,000",",000t",3.257,g/t,83761690,oz    ,0,28-Nov-13,28-Nov-13,,Yes,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Copper,Indicated Inferred,"800,000",",000t",0.796,%,6366400,t     ,0.3,28-Nov-13,28-Nov-13,,Yes,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Gold,Indicated Inferred,"800,000",",000t",0.33,g/t,8490369,oz    ,0,28-Nov-13,28-Nov-13,,Yes,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Rare earth,N/A,N/A,",000t",N/A,%,0,t     ,0,,9-Mar-11,,No,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Cerium,N/A,N/A,",000t",N/A,% CeO2,0,t     ,0,,9-Mar-11,,No,,,,,,,,,,,
10051,,Carrapateena Copper/Gold/Uranium Deposit,Lanthanum,N/A,N/A,",000t",N/A,% La2O3,0,t     ,0,,9-Mar-11,,No,,,,,,,,,,,
34116,,Celtic Gold Deposit,Gold,Indicated Inferred,"1,440",",000t",2.009,g/t,93027,oz    ,0.5,27-Aug-13,5-Sep-13,,Yes,,,,,,,,,,,
34116,,Celtic Gold Deposit,Gold,Probable,104,",000t",2.362,g/t,7898,oz    ,0.8,21-Nov-13,29-Nov-13,,Yes,,,,,,,,,,,
5666,,Chariot Gold Mine,Gold,Indicated Inferred,170,",000t",17.694,g/t,96710,oz    ,1,28-Nov-13,28-Nov-13,,Yes,,,,,,,,,,,
5666,,Chariot Gold Mine,Silver,N/A,N/A,",000t",N/A,g/t,0,oz    ,0,,28-Nov-13,,No,,,,,,,,,,,
56149,,Eastern Hills Antimony/Lead Project,Antimony,Indicated Inferred,"1,312",",000t",1.733,%,22740,t     ,1,29-Nov-13,29-Nov-13,,Yes,,,,,,,,,,,
56149,,Eastern Hills Antimony/Lead Project,Lead,Indicated Inferred,"1,312",",000t",2.49,%,32672,t     ,0,29-Nov-13,29-Nov-13,,Yes,,,,,,,,,,,
56149,,Eastern Hills Antimony/Lead Project,Silver,Indicated Inferred,"1,312",",000t",22.189,g/t,935973,oz    ,0,29-Nov-13,29-Nov-13,,Yes,,,,,,,,,,,
56149,,Eastern Hills Antimony/Lead Project,Gold,Indicated Inferred,"1,312",",000t",0.33,g/t,13919,oz    ,0,29-Nov-13,29-Nov-13,,Yes,,,,,,,,,,,
32388,,Golden Eagle Gold Mine,Gold,Measured Indicated Inferred,"21,810",",000t",1.148,g/t,805099,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
32388,,Golden Eagle Gold Mine,Gold,Proven Probable,"11,491",",000t",1.3,g/t,480277,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
34245,,Golden Gate Gold Deposit,Gold,Probable,464,",000t",3.4,g/t,50721,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
34245,,Golden Gate Gold Deposit,Gold,Measured Indicated Inferred,960,",000t",3.094,g/t,95489,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
19236,,Golden Gate Satellites Gold Deposit,Gold,Measured Indicated Inferred,"2,180",",000t",1.581,g/t,110785,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
19236,,Golden Gate Satellites Gold Deposit,Gold,Probable,216,",000t",3.233,g/t,22453,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
7353,,Grafters Gold Project,Gold,Inferred,261,",000t",1.75,g/t,14685,oz    ,0.6,15-Nov-13,14-Nov-13,Grafters North and Grafters South,Yes,,,,,,,,,,,
10311,,Great Western Gold Deposit,Gold,Measured Indicated Inferred,686,",000t",2.868,g/t,63260,oz    ,0.5,27-Aug-13,5-Sep-13,,Yes,,,,,,,,,,,
10311,,Great Western Gold Deposit,Gold,Proven Probable,264,",000t",2.767,g/t,23486,oz    ,0.75,21-Nov-13,29-Nov-13,,Yes,,,,,,,,,,,
38348,,Kalgoorlie North Gold Project,Gold,Measured Indicated Inferred,"22,001",",000t",1.812,g/t,1281889,oz    ,0.6,15-Nov-13,14-Nov-13,,Yes,,,,,,,,,,,
58668,,Leilani Gold Deposit,Gold,Indicated Inferred,119,",000t",1.677,g/t,6415,oz    ,0.6,15-Nov-13,14-Nov-13,,Yes,,,,,,,,,,,
33069,,Little Wonder Gold Deposit,Gold,Measured Indicated Inferred,940,",000t",1.446,g/t,43712,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
33069,,Little Wonder Gold Deposit,Gold,Proven Probable,258,",000t",1.25,g/t,10369,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
51617,,Nerrin Nerrin Gold Deposit,Gold,Indicated Inferred,181,",000t",2.382,g/t,13863,oz    ,0.6,15-Nov-13,14-Nov-13,,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Proven Probable,"15,979",",000t",1.387,g/t,712496,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
42307,,Nullagine Gold Operation,Gold,Measured Indicated Inferred,"46,002",",000t",1.264,g/t,1869991,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
40957,,Otways Gold Deposit,Gold,Measured Indicated Inferred,"2,742",",000t",0.856,g/t,75479,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
40957,,Otways Gold Deposit,Gold,Proven Probable,414,",000t",1,g/t,13310,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
11779,,Shearers Gold Deposit,Gold,Proven Probable,920,",000t",1.24,g/t,36678,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
11779,,Shearers Gold Deposit,Gold,Measured Indicated Inferred,"2,330",",000t",1.075,g/t,80501,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
33481,,Tennant Creek South Gold Project,Copper,N/A,N/A,",000t",N/A,%,0,t     ,0,,7-Nov-07,,No,,,,,,,,,,,
33481,,Tennant Creek South Gold Project,Silver,N/A,N/A,",000t",N/A,g/t,0,oz    ,0,,15-Oct-09,,No,,,,,,,,,,,
33481,,Tennant Creek South Gold Project,Lead,N/A,N/A,",000t",N/A,%,0,t     ,0,,15-Oct-09,,No,,,,,,,,,,,
33481,,Tennant Creek South Gold Project,Zinc,N/A,N/A,",000t",N/A,%,0,t     ,0,,15-Oct-09,,No,,,,,,,,,,,
33481,,Tennant Creek South Gold Project,Molybdenum,N/A,N/A,",000t",N/A,% Mo,0,t     ,0,,15-Oct-09,,No,,,,,,,,,,,
33481,,Tennant Creek South Gold Project,Silver,N/A,N/A,",000t",N/A,g/t,0,oz    ,0,,28-Nov-13,,No,,,,,,,,,,,
33481,,Tennant Creek South Gold Project,Gold,Indicated Inferred,170,",000t",17.694,g/t,96710,oz    ,6,28-Nov-13,28-Nov-13,,Yes,,,,,,,,,,,
7254,,Tomingley Gold Project,Gold,Measured Indicated Inferred,"14,285",",000t",2.005,g/t,921028,oz    ,0.75,12-Nov-13,12-Nov-13,,Yes,,,,,,,,,,,
7254,,Tomingley Gold Project,Gold,Proven Probable,"3,600",",000t",1.807,g/t,209131,oz    ,0,31-Dec-12,12-Apr-13,,Yes,,,,,,,,,,,
34115,,Wonder Gold Deposit,Gold,Proven Probable,"1,153",",000t",2.223,g/t,82406,oz    ,0.78,21-Nov-13,29-Nov-13,,Yes,,,,,,,,,,,
